team_id,team,seed,conf,win_percent,berth,rpi,reb_mar,scr_mar,turnover
1,Albany,0.0,0.0,0.0,44.9,0.0,54.0,17.4,49.7
2,American,8.3,0.0,33.7,44.9,0.0,32.0,35.3,50.5
3,Arizona,79.7,56.3,64.8,53.7,55.7,65.4,76.8,52.7
4,Arizona State,36.2,56.3,31.9,53.7,33.3,45.2,29.6,58.2
5,Baylor,48.2,60.4,37.8,53.7,43.8,69.1,39.2,50.7
6,BYU,36.2,0.0,32.1,53.7,40.0,55.5,43.2,59.1
7,Cal Poly,0.0,15.4,0.0,44.9,0.0,38.0,0.0,60.9
8,Cincinnati,53.2,0.0,61.7,53.7,72.7,48.5,50.4,60.6
9,Coastal Carolina,0.0,10.0,29.6,44.9,0.0,46.0,31.3,51.2
10,Colorado,39.7,56.3,32.1,53.7,35.7,59.4,31.4,51.0
11,Connecticut,47.0,0.0,41.7,53.7,50.0,35.5,47.9,58.2
12,Creighton,70.1,61.7,51.2,44.9,61.5,50.2,59.5,43.6
13,Dayton,36.2,46.8,40.3,53.7,30.0,48.4,30.1,50.2
14,Delaware,22.8,46.2,45.8,44.9,25.0,37.0,29.9,54.2
15,Duke,70.1,62.1,41.7,53.7,70.6,41.5,59.8,46.9
16,Eastern Kentucky,8.3,23.1,46.3,44.9,0.0,0.0,46.5,57.5
17,Florida,79.7,60.2,74.3,44.9,78.6,48.0,62.1,58.9
18,George Washington,37.1,46.8,43.5,53.7,42.9,52.3,43.8,50.7
19,Gonzaga,39.7,0.0,63.7,44.9,58.3,52.7,56.5,58.9
20,Harvard,37.1,0.0,67.2,44.9,12.5,50.2,62.4,59.1
21,Iowa,36.2,59.7,33.7,53.7,25.0,71.3,56.5,59.1
22,Iowa State,70.1,60.4,51.2,44.9,61.5,36.4,46.6,52.7
23,Kansas,70.9,60.4,46.3,53.7,81.8,71.3,52.5,50.6
24,Kansas State,37.1,60.4,33.7,53.7,36.4,36.1,28.8,50.0
25,Kentucky,39.7,60.2,42.3,53.7,41.2,78.3,50.0,50.2
26,Louisiana-Lafayette,8.3,21.4,32.1,44.9,0.0,48.8,38.4,48.8
27,Louisville,59.6,0.0,62.6,44.9,52.6,54.0,0.0,52.7
28,Manhattan,22.8,23.1,50.5,44.9,20.0,36.4,44.3,50.0
29,Massachusetts,48.2,46.8,43.5,53.7,33.3,53.3,30.3,49.6
30,Memphis,39.7,0.0,43.0,53.7,33.3,47.5,43.2,50.5
31,Mercer,8.3,14.3,41.7,44.9,0.0,47.8,59.5,52.8
32,Michigan,70.9,59.7,42.5,53.7,71.9,43.7,51.7,58.3
33,Michigan State,59.6,59.7,41.7,44.9,28.6,48.5,51.8,56.9
34,Mount St. Mary&rsquo;s,0.0,0.0,0.0,44.9,0.0,52.9,0.0,50.9
35,Nebraska,36.2,59.7,33.3,53.7,50.0,36.7,12.5,58.8
36,New Mexico,47.0,32.6,61.7,44.9,52.4,55.5,47.9,52.7
37,New Mexico State,22.8,23.8,44.5,44.9,0.0,45.7,52.4,49.9
38,North Carolina,48.2,62.1,43.0,53.7,54.5,48.0,43.2,50.9
39,North Carolina Central,8.3,12.5,60.0,44.9,0.0,53.3,77.4,56.9
40,North Carolina State,37.1,62.1,33.3,53.7,44.4,40.0,11.1,58.1
41,North Dakota State,37.1,0.0,61.5,44.9,59.1,48.5,53.8,46.9
42,Ohio State,48.2,59.7,45.8,53.7,37.5,40.4,54.0,58.8
43,Oklahoma,53.2,60.4,43.0,53.7,44.4,38.9,29.9,59.1
44,Oklahoma State,37.1,60.4,29.6,53.7,16.7,38.1,55.4,52.3
45,Oregon,47.0,56.3,43.0,53.7,54.5,36.1,44.8,53.7
46,Pittsburgh,37.1,62.1,45.8,53.7,40.0,55.6,52.1,52.7
47,Providence,36.2,61.7,32.1,44.9,0.0,54.3,25.5,53.2
48,Saint Joseph&rsquo;s,36.2,46.8,46.3,44.9,41.7,48.8,28.0,49.4
49,Saint Louis,53.2,46.8,61.7,53.7,47.4,43.7,50.0,49.7
50,San Diego State,59.6,32.6,64.3,53.7,62.5,55.5,74.1,49.0
51,Stanford,36.2,56.3,29.6,53.7,50.0,47.3,30.3,60.6
52,Stephen F. Austin,37.1,10.0,74.3,44.9,25.0,46.0,61.1,60.6
53,Syracuse,70.1,62.1,62.7,53.7,65.5,54.3,49.4,61.5
54,Tennessee,36.2,60.2,29.6,53.7,28.6,63.6,52.1,52.7
55,Texas,47.0,60.4,40.3,53.7,60.9,69.1,32.4,49.7
56,Texas Southern,0.0,0.0,24.3,44.9,0.0,53.3,9.5,50.6
57,Tulsa,22.8,0.0,29.6,44.9,0.0,34.4,29.5,58.2
58,UCLA,59.6,56.3,41.7,44.9,52.4,41.5,50.4,58.1
59,Villanova,70.9,61.7,64.3,53.7,73.0,54.3,56.5,53.2
60,Virginia,79.7,62.1,63.7,44.9,64.3,48.7,52.7,53.8
61,Virginia Commonwealth,53.2,46.8,41.7,53.7,58.3,35.6,53.5,49.4
62,Weber State,0.0,8.3,36.9,44.9,0.0,54.3,31.2,49.7
63,Western Michigan,8.3,0.0,43.0,44.9,0.0,41.9,32.9,51.1
64,Wichita State,79.7,41.7,0.0,44.9,77.4,71.8,79.6,52.3
65,Wisconsin,70.9,59.7,51.2,53.7,83.7,32.3,49.4,60.0
66,Wisconsin-Milwaukee,8.3,0.0,33.3,44.9,0.0,40.4,0.0,49.6
67,Wofford,8.3,21.4,33.7,44.9,0.0,40.7,35.3,57.5
68,Xavier,37.1,61.7,29.6,53.7,63.6,47.7,31.9,49.7
